Year,Month,Company-A,Company-B,Company-C,Company-D,Company-E
1990,Jan,751,552,829,289,649
1990,Feb,503,106,877,932,691
1990,Mar,107,170,314,206,441
1990,Apr,122,914,365,127,721
1990,May,252,800,109,268,206
1990,Jun,293,113,790,519,521
1990,Jul,642,16,758,941,870
1990,Aug,969,305,418,473,119
1990,Sep,759,252,233,97,165
1990,Oct,653,50,856,151,234
1990,Nov,929,324,734,756,590
1990,Dec,224,153,69,15,391
1991,Jan,656,303,44,333,299
1991,Feb,829,70,917,491,293
1991,Mar,782,838,445,916,428
1991,Apr,570,148,208,971,193
1991,May,411,374,662,395,791
1991,Jun,937,840,352,170,497
1991,Jul,823,392,416,575,666
